TradingDate,TradingPeriod,PointOfConnection,DollarsPerMegawattHour
2023-06-08,35,ALB1101,46.72
2023-06-08,5,ARA2201,0.02
2023-06-08,38,COL0661,140.62
2023-06-08,35,CPK0111,41.67
2023-06-08,47,CYD0331,2.99
2023-06-08,35,HAY2201,41.04
2023-06-08,16,HWA0332,83.33
2023-06-08,7,KAW2201,0.41
2023-06-08,36,KIN0111,1094.59
2023-06-08,46,KIN0111,5.60
2023-06-08,48,KPA1101,4.46
2023-06-08,33,OHA2201,5.62
2023-06-08,3,OHC2201,1.00
2023-06-08,48,RFN1101,1.10
2023-06-08,31,TIM0111,0.23
2023-06-08,24,TKU2201,4.88
2023-06-08,25,TKU2201,4.32
2023-06-08,12,WKM2201,1.55
2023-06-08,21,WTK0111,56.05
2023-06-08,32,BLN0331,0.70
2023-06-08,14,BOB0331,3.59
2023-06-08,34,BPT1101,11.56
2023-06-08,41,CPK0331,90.39
2023-06-08,23,FKN0331,9.13
2023-06-08,4,GYT0331,0.66
2023-06-08,46,GYT0331,5.28
2023-06-08,13,HWA0331,1.48
2023-06-08,24,INV2202,4.24
2023-06-08,29,KAI0111,3.27
2023-06-08,19,KAW0111,40.86
2023-06-08,45,KIK2201,5.79
2023-06-08,40,KIN0111,143.47
2023-06-08,28,LFD1102,9.69
2023-06-08,1,LTN2201,4.27
2023-06-08,41,MLG0111,90.30
2023-06-08,18,OKN0111,28.97
2023-06-08,17,OTA2201,122.66
2023-06-08,47,OWH0111,3.89
2023-06-08,22,PEN1101,26.31
2023-06-08,26,SDN0331,4.50
2023-06-08,31,TKA0111,0.22
2023-06-08,9,TKU0331,0.77
2023-06-08,14,WHI2201,3.39
2023-06-08,24,WRD0331,5.36
2023-06-08,4,WVY1101,0.63
2023-06-08,31,ARI1102,1.48
2023-06-08,38,ARI1102,156.75
2023-06-08,23,AVI2201,8.93
2023-06-08,42,BOB1101,46.01
2023-06-08,22,BPE2201,23.58
2023-06-08,8,CML0331,0.44
2023-06-08,4,CPK0331,0.65
2023-06-08,11,DVK0111,3.81
2023-06-08,12,HOB1101,1.66
2023-06-08,23,HOB1101,11.06
2023-06-08,46,ISL0661,3.24
2023-06-08,26,KBY0661,6.55
2023-06-08,47,KPA1101,3.74
2023-06-08,22,OHK2201,24.21
2023-06-08,7,OKN0111,0.40
2023-06-08,20,SFD2201,82.90
2023-06-08,16,STK0661,92.25
2023-06-08,26,STK2201,6.82
2023-06-08,9,SVL0331,0.83
2023-06-08,32,SWN0251,2.26
2023-06-08,23,THI2201,10.17
2023-06-08,16,TUI1101,84.02
2023-06-08,8,TWC2201,0.47
2023-06-08,2,TWH0331,2.51
2023-06-08,27,WAI0501,13.23
2023-06-08,39,WGN0331,127.72
2023-06-08,5,WIL0331,0.02
2023-06-08,25,WPW0331,4.25
2023-06-08,22,WRK0331,24.22
2023-06-08,31,WRK0331,1.44
2023-06-08,46,BAL0331,3.09
2023-06-08,13,BLN0331,1.63
2023-06-08,36,BOB0331,1149.44
2023-06-08,18,BPE2201,27.87
2023-06-08,41,COL0111,76.35
2023-06-08,41,FHL0331,94.67
2023-06-08,7,GLN0331,0.43
2023-06-08,38,GLN0332,168.60
2023-06-08,37,HAM2201,211.93
2023-06-08,42,HLY2201,45.11
2023-06-08,45,HOR0661,5.57
2023-06-08,25,HWA1102,4.24
2023-06-08,46,KPA1101,5.47
2023-06-08,45,LFD1101,6.28
2023-06-08,4,MDN2201,0.72
2023-06-08,37,MNG1101,218.98
2023-06-08,38,OTA0221,169.18
2023-06-08,35,PEN0251,46.46
2023-06-08,11,PEN1101,4.35
2023-06-08,47,STK0331,3.39
2023-06-08,9,THI2201,0.78
2023-06-08,8,TWZ0331,0.44
2023-06-08,32,WIR0331,2.29
2023-06-08,7,WRK0331,0.41
2023-06-08,36,WRK2201,1056.15
2023-06-08,41,APS0111,77.80
2023-06-08,7,ARA2201,0.41
2023-06-08,41,ARI1102,97.39
2023-06-08,27,ASB0661,5.34
2023-06-08,24,ATI2201,4.94
2023-06-08,37,ATU1101,205.22
2023-06-08,47,BLN0331,3.45
2023-06-08,9,BRK0331,0.77
2023-06-08,8,CYD2201,0.44
2023-06-08,31,GOR0331,0.15
2023-06-08,34,HEN2201,14.34
2023-06-08,12,HWB1101,0.98
2023-06-08,1,KAI0111,1.91
2023-06-08,10,KBY0661,1.07
2023-06-08,13,KIK0111,1.53
2023-06-08,10,KPA1101,1.80
2023-06-08,30,MTI2201,3.42
2023-06-08,22,NMA0331,0.00
2023-06-08,9,OPK0331,0.78
2023-06-08,34,OTA0221,14.26
2023-06-08,47,OTA0221,4.13
2023-06-08,42,PNI0331,39.62
2023-06-08,14,ROX1101,2.50
2023-06-08,12,WAI0501,1.57
